time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-22 09:30:00-05:00,MLTrader,d282bdfec1254322973fe291c279f6f6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,d282bdfec1254322973fe291c279f6f6,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,106.0,0.0
2024-01-08 09:30:00-05:00,MLTrader,d59aa9f81796456b9800be62ca95839e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,MLTrader,d59aa9f81796456b9800be62ca95839e,SPY,sell,market,fill,1,gtc,0.0,1,stock,468.42999267578125,160.0,0.0
2024-01-17 09:30:00-05:00,MLTrader,5c83079d958949c89ebeda8b61244875,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,MLTrader,5c83079d958949c89ebeda8b61244875,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,239.0,0.0
2024-02-02 09:30:00-05:00,MLTrader,715ea5a639f14c5b97cf310617161aeb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,MLTrader,2eba1cf1cf1145bd9af89ffc048001c9,SPY,buy,stop,fill,1,day,0.0,1,stock,491.85149230957035,160.0,0.0
2024-02-02 09:30:00-05:00,MLTrader,79cdfd663a9e4ce0bb1d3fc4b6d7630d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,MLTrader,f352d4bb129749fab7b441339ad3434d,SPY,buy,stop,fill,1,day,0.0,1,stock,495.4110076904297,239.0,0.0
2024-02-07 09:30:00-05:00,MLTrader,313a272e30d04e3fa02ce2793f428fa1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,MLTrader,17bb1f6700dd4c32a3840f0a47e4fbff,SPY,buy,stop,fill,1,day,0.0,1,stock,497.55298461914066,106.0,0.0
2024-02-12 09:30:00-05:00,MLTrader,a715020e6dfa4bab9bf419efeb3386e9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 09:30:00-05:00,MLTrader,a715020e6dfa4bab9bf419efeb3386e9,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,88.0,0.0
2024-03-04 09:30:00-05:00,MLTrader,56c030d3ce9d405dad9b912f8e6873b9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 09:30:00-05:00,MLTrader,56c030d3ce9d405dad9b912f8e6873b9,SPY,buy,market,fill,1,gtc,0.0,1,stock,512.030029296875,43.0,0.0
2024-04-11 09:30:00-04:00,MLTrader,b744e64dc7fb415bb1b9e6f7de5ce4e7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,b744e64dc7fb415bb1b9e6f7de5ce4e7,SPY,sell,market,fill,1,gtc,0.0,1,stock,514.3699951171875,21.0,0.0
2024-06-11 09:30:00-04:00,MLTrader,37fb3ddda9814902b8433cf348257319,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-06-11 09:30:00-04:00,MLTrader,8ea98fc48ec94d939254793c19034daa,SPY,buy,stop,fill,1,day,0.0,1,stock,541.6300048828125,21.0,0.0
2024-06-14 09:30:00-04:00,MLTrader,8cf420a9a6e643a5984f007fc6763370,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,8cf420a9a6e643a5984f007fc6763370,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,20.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,e7865253277548e2a10faf80486d0f8f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,e7865253277548e2a10faf80486d0f8f,SPY,sell,market,fill,1,gtc,0.0,1,stock,543.989990234375,10.0,0.0
2024-06-27 09:30:00-04:00,MLTrader,10428b0f7ef34b88872c1237fb543812,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MLTrader,10428b0f7ef34b88872c1237fb543812,SPY,sell,market,fill,1,gtc,0.0,1,stock,547.1599731445312,15.0,0.0
